,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
194,abt_c,ihdcoa_c,3c4mop_c,2oph_c,clpn180_c,met_D_c,e4hglu_c,sucorn_c,pe161_c,myrstcaacgam_c
195,fa4_c,h2mb4p_c,15dap_c,man_c,frdp_c,so3_c,thfglu_c,13mmyrsACP_c,lcts_e,dcamp_c
196,ihdcoa_c,lys_L_e,pppg9_c,3oddecACP_c,dcamp_c,phthr_c,arg_L_c,7m3oocACP_c,fdp_c,frdp_c
197,maltttr_c,maltttr_c,rhcys_c,clpni16_c,2ippm_c,23dhdp_c,8mdcaACP_c,5forthf_c,g6p_c,2ippm_c
198,lys_L_e,lcts_c,hexs_c,val_L_c,fa11_c,phphhlipa_c,1odecg3p_c,4m3opentACP_c,udcpp_c,fa11_c
199,h2mb4p_c,ara5p_c,pgpi16_c,1aihpdecg3p_c,cdpdtdecg_c,g3pe_c,ttdca_e,imacp_c,adn_e,gmhep17bp_c
200,lcts_c,na1_c,f6p_c,3hibutcoa_c,1aipdecg3p_c,udpacgal_c,2aobut_c,peai15_c,prpp_c,cdpdtdecg_c
201,salc6p_c,pgi17_c,2obut_c,acACP_c,clpni15_c,1odec11eg3p_c,icolipa_c,thfglu_c,suc6p_c,clpni15_c
202,pgi17_c,asp_L_c,gmp_c,pg140_c,6mheptACP_c,14mtpalm2eACP_c,tre6p_c,arg_L_c,glytyr_c,1aipdecg3p_c
203,na1_c,cdpditdecg_c,gdp_c,leu_L_c,pe161_c,ficytC_c,10fthf_c,8mdcaACP_c,tagdp_D_c,6mheptACP_c
204,cdpditdecg_c,gcald_c,gtp_c,clpnai15_c,fdp_c,acnam_c,cys_L_e,e4hglu_c,so3_c,egACPm_c
