,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
133,suchms_c,,,4mhetz_c,1agpg141_c,1agpe180_c,f1a_e,core8_e,,dsT_antigen_e
134,drib_e,,,met_L_e,2agpg181_c,2agpe180_c,dsT_antigen_e,arabinoxyl_e,,gncore2_e
135,msa_c,,,2ameph_c,2agpg120_c,12dipdglyc_c,gncore2_e,galmannan_e,,gncore2_rl_e
136,acgam_e,,,mqn7_e,2agpg161_c,12dgr160_c,rhamnogalurI_e,hspg_degr_14_e,,raffin_e
137,sTn_antigen_e,,,cytd_c,1agpg181_c,12dixdglyc_c,gncore2_rl_e,arabinan101_e,,lcts_e
138,dsT_antigen_e,,,adocbi_c,2agpg180_c,1agpe160_c,f1a_rl_e,f1a_e,,malt_e
139,acnam2a6agal_e,,,ppgpp_c,2agpg140_c,2agpe160_c,raffin_e,f1a_rl_e,,h2o_e
140,dsT_antigen_rl_e,,,xyl_D_e,gncore2_e,2hdecg3p_c,lcts_e,glcmannan_e,,
141,no3_e,,,sarcs_c,core4_e,12dgr140_c,strch1_e,gncore2_e,,
142,thmmp_c,,,hco3_c,agal1b3agal_e,12daihdglyc_c,,rhamnogalurI_e,,
143,alathr_e,,,tartr_L_c,gncore2_rl_e,12ditdglyc_c,,gncore2_rl_e,,
144,cyst_L_c,,,utp_c,core4_rl_e,2agpg181_c,,raffin_e,,
145,hco3_c,,,,core6_e,2agpg161_c,,lcts_e,,
146,glytyr_e,,,,chtbs_e,1agpg161_c,,pullulan1200_e,,
147,glyc_R_c,,,,h2o_e,1agpg160_c,,amylopect900_e,,
148,xan_e,,,,o2s_c,1agpg180_c,,amylose300_e,,
149,nmn_e,,,,hco3_c,1agpg141_c,,glygn2_e,,
150,2shchc_c,,,,tartr_L_c,2agpg160_c,,dextran40_e,,
151,pro_L_e,,,,,2agpg141_c,,xyluglc_e,,
152,glypro_e,,,,,1agpg181_c,,,,
153,rbl_D_c,,,,,2agpg180_c,,,,
154,glygln_e,,,,,12dihdglyc_c,,,,
155,,,,,,12daipdglyc_c,,,,
156,,,,,,acnam_e,,,,
157,,,,,,chtbs_e,,,,
158,,,,,,1agpg140_c,,,,
159,,,,,,2agpe140_c,,,,
160,,,,,,2tdecg3p_c,,,,
161,,,,,,1agpe140_c,,,,
162,,,,,,2agpg140_c,,,,
163,,,,,,2agpg120_c,,,,
164,,,,,,2agpe120_c,,,,
165,,,,,,2ddecg3p_c,,,,
166,,,,,,1agpe120_c,,,,
167,,,,,,1agpg120_c,,,,
168,,,,,,h2s_c,,,,
169,,,,,,tmao_c,,,,
170,,,,,,dmso_c,,,,
171,,,,,,2pglyc_c,,,,
172,,,,,,5mta_c,,,,
173,,,,,,tre_e,,,,
174,,,,,,glc_D_e,,,,
175,,,,,,malt_e,,,,
176,,,,,,malttr_c,,,,
177,,,,,,cellb_e,,,,
