,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
50,5mta_c,ihdcoa_c,mql8_c,ipdcoa_c,prl45tcaglc_c,14m3opalmACP_c,3opalmACP_c,tddec2eACP_c,3opACPm_c,isocapr_e
51,HC01652_c,10mtddec2eACP_c,l2a6o_c,pgp141_c,acnam2a6agal_e,nicrns_c,met_L_e,rmn_e,isocapr_e,kdo2lipid4_c
52,dtdpglu_c,aihpdcoa_c,pa161_c,prl45tcaglc_c,3dhsk_c,h2mb4p_c,3opACPm_c,3opalmACP_c,kdo2lipid4_c,23dhmp_c
53,3mop_c,dad_2_c,amet_c,3dhsk_c,acglu_c,glc_D_c,isocapr_e,met_L_e,23dhmp_c,gdp_c
54,cdpdaihpdecg_c,ipdcoa_c,lys_L_e,acglu_c,hethmpp_c,2dr1p_c,kdo2lipid4_c,3opACPm_c,gdp_c,ihdcoa_c
55,udcpdp_c,hdca_e,tsul_c,hethmpp_c,14m3opalmACP_c,pgpi15_c,23dhmp_c,isocapr_e,ihdcoa_c,10mtddec2eACP_c
56,2mp2coa_c,14m3opalmACP_c,ocdca_c,14m3opalmACP_c,nicrns_c,dxyl5p_c,gdp_c,kdo2lipid4_c,10mtddec2eACP_c,aihpdcoa_c
57,HC00695_c,nicrns_c,23dhmb_c,nicrns_c,h2mb4p_c,air_c,ihdcoa_c,hspg_degr_4_e,aihpdcoa_c,lald_L_c
58,thr_L_e,h2mb4p_c,phom_c,h2mb4p_c,glc_D_c,thmmp_c,10mtddec2eACP_c,hspg_degr_8_e,lald_L_c,dad_2_c
59,f1a_rl_e,glc_D_c,r5p_c,glc_D_c,pgpi15_c,dtdpglu_c,aihpdcoa_c,gdp_c,dad_2_c,acorn_c
60,2pg_c,gthox_c,cobalt2_c,gthox_c,2dr1p_c,1ihdecg3p_c,pgp161_c,23dhmp_c,acorn_c,ipdcoa_c
61,ump_c,2dr1p_c,ggdp_c,pgpi15_c,dxyl5p_c,kphphhlipa_c,lald_L_c,ihdcoa_c,ipdcoa_c,hdca_e
62,duri_c,dxyl5p_c,pgi15_c,2dr1p_c,air_c,cdpdaihpdecg_c,dad_2_c,10mtddec2eACP_c,hdca_e,acnam2a6agal_e
