,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
103,cbl2[e],,h2[e],,agal1b3agal[e],h2[e],sucr[e],ala_L[e],h2[e],ca2[e]
104,glytyr[e],,metsox_S_L[e],,agam1b6agal[e],fum[e],met_L[e],core5[e],agal1b3agal[e],cro4[e]
105,cys_L[e],,alagly[e],,sT_antigen_rl[e],metsox_S_L[e],kestottr[e],agam1b3agal[e],lys_L[e],o2[e]
106,gal1a3acgal[e],,ile_L[e],,lys_L[e],alagly[e],dsT_antigen[e],lmn2[e],duri[e],nh4[e]
107,alagln[e],,fe2[e],,glyphe[e],ile_L[e],lac_D[e],nac[e],h2s[e],acald[e]
108,phe_L[e],,hexs[e],,cobalt2[e],fe2[e],12ppd_S[e],btn[e],glc_D[e],adn[e]
109,leu_L[e],,ura[e],,xyl_D[e],ura[e],xan[e],arabttr[e],ura[e],gncore2[e]
110,core3[e],,k[e],,glytyr[e],pydx[e],4hbz[e],mg2[e],cobalt2[e],etoh[e]
111,cu2[e],,taur[e],,cys_L[e],glytyr[e],glcur[e],ppa[e],thymd[e],h2[e]
112,glycys[e],,glytyr[e],,core4_rl[e],gln_L[e],rib_D[e],core3[e],cbl2[e],agal1b3agal[e]
113,malthx[e],,sulfac[e],,kestopt[e],cobalt2[e],tre[e],fe3[e],cys_L[e],lys_L[e]
114,ac[e],,gln_L[e],,chtbs[e],hdca[e],ca2[e],cobalt2[e],core4_rl[e],ctbt[e]
115,glyc[e],,sbt_D[e],,core4[e],,ha_deg1[e],arabinoxyl[e],chtbs[e],duri[e]
116,for[e],,,,gcald[e],,cro4[e],xyluglc[e],core4[e],glc_D[e]
117,no[e],,,,gal1a3acgal[e],,ha[e],zn2[e],gcald[e],cobalt2[e]
118,fe2[e],,,,pydx[e],,o2[e],core8[e],gal1a3acgal[e],thymd[e]
119,gln_L[e],,,,alagln[e],,adn[e],Tn_antigen[e],ttdca[e],cbl2[e]
120,no3[e],,,,phe_L[e],,gncore2[e],sucr[e],pydx[e],core4_rl[e]
121,alathr[e],,,,fecrm[e],,pect[e],met_L[e],leu_L[e],chtbs[e]
122,malttr[e],,,,leu_L[e],,h2[e],hspg_degr_13[e],dad_2[e],core4[e]
123,glyb[e],,,,zn2[e],,agal1b3agal[e],isobut[e],taur[e],gcald[e]
124,nmn[e],,,,pydxn[e],,lys_L[e],lac_D[e],man[e],gly[e]
125,glyleu[e],,,,cd2[e],,ctbt[e],12ppd_S[e],hxan[e],gal1a3acgal[e]
126,lac_L[e],,,,core3[e],,duri[e],Tyr_ggn[e],ac[e],ttdca[e]
127,,,,,glycys[e],,h2s[e],sTn_antigen[e],for[e],pydx[e]
128,,,,,gncore2[e],,ura[e],glcur[e],lcts[e],leu_L[e]
129,,,,,ac[e],,acgalglcur[e],rib_D[e],ddca[e],zn2[e]
130,,,,,glyc[e],,cobalt2[e],ca2[e],gua[e],pydxn[e]
131,,,,,for[e],,thymd[e],ha_deg1[e],fe2[e],cd2[e]
132,,,,,acnam2a6agal[e],,cbl2[e],hspg_degr_1[e],hdca[e],dad_2[e]
133,,,,,sTn_antigen[e],,cys_L[e],cro4[e],galt[e],taur[e]
134,,,,,fe2[e],,core4_rl[e],ha[e],lac_L[e],man[e]
135,,,,,gln_L[e],,arabinogal[e],o2[e],,ac[e]
136,,,,,alathr[e],,cspg_c_degr[e],hspg_degr_14[e],,for[e]
137,,,,,glyb[e],,chtbs[e],adn[e],,lcts[e]
138,,,,,galt[e],,core4[e],gncore2[e],,ddca[e]
139,,,,,glyleu[e],,gcald[e],dextran40[e],,fe2[e]
140,,,,,lac_L[e],,ha_pre1[e],pullulan1200[e],,hdca[e]
141,,,,,oxa[e],,gal1a3acgal[e],h2[e],,glyb[e]
142,,,,,,,ttdca[e],agal1b3agal[e],,galt[e]
143,,,,,,,pydx[e],sT_antigen_rl[e],,lac_L[e]
144,,,,,,,leu_L[e],lys_L[e],,
145,,,,,,,melib[e],duri[e],,
146,,,,,,,zn2[e],acgalglcur[e],,
147,,,,,,,pecticgal[e],thymd[e],,
148,,,,,,,pydxn[e],cbl2[e],,
149,,,,,,,cd2[e],core4_rl[e],,
150,,,,,,,dad_2[e],arabinogal[e],,
151,,,,,,,cspg_a[e],cspg_c_degr[e],,
152,,,,,,,man[e],chtbs[e],,
153,,,,,,,core7[e],core4[e],,
154,,,,,,,ac[e],gcald[e],,
155,,,,,,,for[e],ha_pre1[e],,
156,,,,,,,lcts[e],gal1a3acgal[e],,
157,,,,,,,ddca[e],ttdca[e],,
158,,,,,,,pro_L[e],pydx[e],,
159,,,,,,,fe2[e],glygn4[e],,
160,,,,,,,hdca[e],glygn2[e],,
161,,,,,,,glyb[e],glygn5[e],,
162,,,,,,,idour[e],leu_L[e],,
163,,,,,,,galt[e],pecticgal[e],,
164,,,,,,,lac_L[e],pydxn[e],,
165,,,,,,,,dad_2[e],,
166,,,,,,,,hspg_rest[e],,
167,,,,,,,,cspg_a[e],,
168,,,,,,,,man[e],,
169,,,,,,,,acnam2a6agal[e],,
170,,,,,,,,ac[e],,
171,,,,,,,,for[e],,
172,,,,,,,,lcts[e],,
173,,,,,,,,amylose300[e],,
174,,,,,,,,idour[e],,
175,,,,,,,,ddca[e],,
176,,,,,,,,lichn[e],,
177,,,,,,,,fe2[e],,
178,,,,,,,,hdca[e],,
179,,,,,,,,levan1000[e],,
180,,,,,,,,bglc[e],,
181,,,,,,,,lmn30[e],,
