,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
53,2dda7p[c],dhna[c],pgpi14[c],pro_L[c],ihdcoa[c],dttp[c],n8aspmd[c],l2a6o[c],4per[c],n8aspmd[c]
54,ohpb[c],dmphqno[c],pgi14[c],pppi[c],glu5sa[c],alaasp[c],4per[c],n8aspmd[c],fa6[c],4per[c]
55,phthr[c],36dahx[c],methf[c],trp_L[c],acbdma14gapuc[c],zn2[c],fa6[c],4per[c],ihdcoa[c],fa6[c]
56,4abz[c],udpg[c],ctp[c],2agpg140[c],applp[c],g3p[c],ihdcoa[c],fa6[c],glu5sa[c],ihdcoa[c]
57,dhpt[c],HC01710[c],cdpdodec11eg[c],ttdca[c],frdp[c],pgpi14[c],glu5sa[c],ihdcoa[c],applp[c],glu5sa[c]
58,2dhp[c],34hpp[c],pgp180[c],clpni17[c],ggdp[c],pgi14[c],dtdp[c],glu5sa[c],dtdp[c],5forthf[c]
59,5mthglu[c],g3p[c],dadp[c],glu_D[c],3ohcoa[c],methf[c],pro_L[c],5forthf[c],pro_L[c],applp[c]
60,amet[c],zn2[c],3hpalmACP[c],PGP[c],dtdp[c],cdpdodec11eg[c],cbi[c],applp[c],cbi[c],dtdp[c]
61,nicrns[c],alaasp[c],dgtp[c],akg[c],pro_L[c],pgp180[c],pppi[c],dtdp[c],pppi[c],pro_L[c]
62,g3pc[c],cdpdodec11eg[c],dnad[c],utp[c],cbi[c],3hpalmACP[c],trp_L[c],pro_L[c],trp_L[c],cbi[c]
63,glc_bD[c],2omhmbl[c],s7p[c],xan[c],pppi[c],tpalm2eACP[c],2obut[c],cbi[c],2obut[c],pppi[c]
64,paai17[c],glyc3p[c],his_L[c],btcoa[c],trp_L[c],3c3hmp[c],glu_D[c],pppi[c],glu_D[c],trp_L[c]
65,cdpdaihpdecg[c],pgp180[c],cit[c],fdxox[c],2agpg140[c],dadp[c],PGP[c],trp_L[c],PGP[c],2obut[c]
66,h2s[c],3hpalmACP[c],3hocoa[c],thf[c],ttdca[c],dgtp[c],g6p_B[c],2obut[c],utp[c],glu_D[c]
67,pant_R[c],tpalm2eACP[c],tyr_L[c],thmpp[c],glu_D[c],dnad[c],utp[c],glu_D[c],xan[c],PGP[c]
68,2hdecg3p[c],dadp[c],q8[c],uaaAgtla[c],PGP[c],s7p[c],xan[c],PGP[c],ps141[c],g6p_B[c]
69,leu_L[c],dgtp[c],4r5au[c],asn_L[c],utp[c],his_L[c],ps141[c],g6p_B[c],thf[c],utp[c]
70,glyc[c],asp_L[c],oaa[c],2dda7p[c],xan[c],ocACP[c],phthr[c],utp[c],asn_L[c],xan[c]
71,glyald[c],iasp[c],fad[c],ohpb[c],2ins[c],3odecACP[c],thf[c],xan[c],2dda7p[c],phthr[c]
72,dad_2[c],nicrnt[c],dump[c],phthr[c],ps141[c],cit[c],uaaAgtla[c],ps141[c],ohpb[c],thf[c]
73,ppap[c],dnad[c],dtmp[c],diglcpgai17[c],btcoa[c],3hocoa[c],asn_L[c],phthr[c],phthr[c],uaaAgtla[c]
74,orot5p[c],s7p[c],uamag[c],ai17tca1[c],fdxox[c],tyr_L[c],2dda7p[c],thf[c],4abz[c],asn_L[c]
75,dctp[c],cit[c],ru5p_D[c],2dhp[c],thf[c],q8[c],ohpb[c],uaaAgtla[c],dhpt[c],2dda7p[c]
76,met_L[c],ocACP[c],4m3ohexACP[c],clpn180[c],uaaAgtla[c],oaa[c],4abz[c],asn_L[c],2dhp[c],ohpb[c]
77,metala[c],3odecACP[c],cdpdihdecg[c],12m3omyrsACP[c],asn_L[c],fad[c],dhpt[c],2dda7p[c],nicrns[c],4abz[c]
78,orn[c],his_L[c],pgpi16[c],8m3hnonACP[c],2dda7p[c],adcobhex[c],2dhp[c],ohpb[c],12m3omyrsACP[c],dhpt[c]
79,2agpg180[c],adocbl[c],cgly[c],g3pc[c],ohpb[c],adocbip[c],pydam[c],4abz[c],8m3hnonACP[c],2dhp[c]
80,g3pg[c],tyr_L[c],no3[c],13m3omyrsACP[c],phthr[c],dump[c],nicrns[c],dhpt[c],g3pc[c],pydam[c]
81,pa120[c],q8[c],26dap_M[c],paai17[c],diglcpgai17[c],dtmp[c],12m3omyrsACP[c],2dhp[c],13m3omyrsACP[c],nicrns[c]
82,cdpdddecg[c],oaa[c],lac_D[c],cdpdaihpdecg[c],ai17tca1[c],glc_D[c],8m3hnonACP[c],pydam[c],glc_bD[c],12m3omyrsACP[c]
83,uacgam[c],fad[c],23dhmb[c],diglcpgi17[c],4abz[c],uamag[c],g3pc[c],nicrns[c],u23ga[c],8m3hnonACP[c]
84,ai17tcaacgam[c],dump[c],26dap_LL[c],pant_R[c],dhpt[c],4m3ohexACP[c],13m3omyrsACP[c],12m3omyrsACP[c],paai17[c],g3pc[c]
85,alltn[c],dtmp[c],3hddecACP[c],2hdecg3p[c],2dhp[c],agdpcbi[c],glc_bD[c],8m3hnonACP[c],cdpdaihpdecg[c],13m3omyrsACP[c]
86,inost[c],2ombzl[c],dtdp[c],2c25dho[c],pydam[c],4mhexACP[c],u23ga[c],g3pc[c],pant_R[c],glc_bD[c]
87,urea[c],acac[c],1ihdecg3p[c],leu_L[c],nicrns[c],acg5sa[c],paai17[c],13m3omyrsACP[c],2c25dho[c],u23ga[c]
88,ppp9[c],uamag[c],5m3ohexACP[c],oxa[c],12m3omyrsACP[c],acg5p[c],cdpdaihpdecg[c],glc_bD[c],leu_L[c],paai17[c]
