pa161_c	cdpdhdec9eg_c
prl45tcaala_c	glyc45tcaala_D_c
h2o_e	MGlcn99_rl_e
h_c	diglcpgi14_c
cdpdipdecg_c	h_c
coa_c	oaa_c
utp_c	adp_c
nadph_c	4m3hpentACP_c
ppi_c	gal1p_c
actn_S_c	btd_SS_c
hco3_c	h2o_c
metala_c	ala_L_c
4h2oglt_c	pyr_c
acser_c	so3_c
atp_c	ca2_c
nadph_c	icit_c
uaagmda_c	pi_c
acglu_c	acorn_c
glyasp_c	asp_L_c
nadh_c	g3p_c
h2o_c	succ_c
4mpetz_c	thmmp_c
nadh_c	3hdcoa_c
r5p_c	h_c
15m3hpalmACP_c	nadph_c
nad_c	ppi_c
nicrns_c	h_c
MGlcn72_rl_e	acgam_e
xtsn_c	xan_c
MGlcn104_e	MGlcn91_e
h_c	galt1p_c
g3p_c	fdp_c
udp_c	amp_c
malcoa_c	coa_c
ribflv_e	ribflv_c
ribflv_c	h_e
h_c	asp_L_c
sucr_e	suc6p_c
histl_L_c	nadh_c
gln_L_c	4adcho_c
pyr_c	thmpp_c
val_L_c	biomass_c
nad_c	his_L_c
atp_c	acg5p_c
gln_L_c	aicar_c
hexdp_c	hepdp_c
3hddecACP_c	3oddecACP_c
frdp_c	ppi_c
ura_c	duri_c
galt1p_c	h_c
gtp_c	dgtp_c
nadp_c	nadph_c
aihpdcoa_c	paai17_c
core2_e	acgam_e
f6p_c	h_c
k_c	h_c
lac_D_c	nadh_c
so4_c	h_c
gua_c	ppi_c
dmpp_c	ppi_c
cdpdodecg_c	h_c
ca2_c	adp_c
thm_c	amp_c
h2o_e	gncore1_e
sbt_D_c	h_c
diglcpgai15_c	ai15tca1_c
6m3hocACP_c	6mtoct2eACP_c
gly_c	adp_c
dudp_c	dutp_c
succ_c	nadp_c
atp_c	phom_c
hmbil_c	h2o_c
ppi_c	ocdca_c
lac_D_c	h_e
fa6_c	ppi_c
stys_e	adp_c
glcn_c	nadph_c
nh4_c	adp_c
13m3hmyrsACP_c	h2o_c
6m3oheptACP_c	6m3hheptACP_c
ihpdcoa_c	1ihpdecg3p_c
ser_L_c	psi17_c
xmp_c	ppi_c
dhap_c	mthgxl_c
4abut_e	4abut_c
4hbutcoa_c	accoa_c
nadp_c	5m3ohexACP_c
cdp_c	ctp_c
3oddcoa_c	dcacoa_c
nadh_c	btd_SS_c
drib_c	2dr5p_c
dhap_c	f1p_c
nadh_c	lac_D_c
MGlcn31_rl_e	MGlcn26_rl_e
alaasp_e	alaasp_c
dgmp_c	pi_c
glu_L_c	coa_c
tdcoa_c	myrsACP_c
alagln_c	gln_L_c
MGlcn92_e	gal_e
3btcoa_c	4hbutcoa_c
lac_L_c	q8h2_c
glu_L_c	val_L_c
fdp_c	f6p_c
atp_c	glyphe_c
pphn_c	34hpp_c
nad_c	co2_c
achms_c	h_c
asp_L_c	biomass_c
amp_c	adn_c
6mheptACP_c	ACP_c
dgdp_c	dgmp_c
ppaca_c	pi_c
glypro_e	pi_c
metsox_S_L_e	adp_c
pgai15_c	clpnai15_c
3hoctaACP_c	h2o_c
nadph_c	4m3hhexACP_c
h2o_c	glyasp_c
akg_c	3mop_c
5fthf_c	adp_c
h2o_e	MGlcn108_e
appl_c	adp_c
atp_c	dhap_c
acgam_e	acgam_c
asp_L_c	ala_B_c
h_c	2ohph_c
alac_S_c	nadp_c
nadp_c	nh4_c
MGlcn180_e	acgam_e
3oddecACP_c	3hddecACP_c
glu_L_c	h_c
glyclt_c	h_c
gdp_c	atp_c
trdrd_c	dcdp_c
h_c	7m3oocACP_c
MGlcn95_e	MGlcn26_e
o2_c	2ohph_c
h_c	9m3odcaACP_c
pydxn_c	pdx5p_c
3hbcoa_c	aacoa_c
phe_L_c	h_e
MGlcn80_e	acgam_e
MGlcn111_e	gal_e
MGlcn180_rl_e	MGlcn15_rl_e
alahis_e	adp_c
hxcoa_c	3oocoa_c
g1p_c	gal1p_c
h_c	thr_L_e
alaglu_e	adp_c
aspsa_c	hom_L_c
h_c	trdrd_c
MGlcn92_e	MGlcn28_e
imp_c	dcamp_c
26dap_M_c	h_c
dgtp_c	biomass_c
ala_L_c	h2o_c
cmp_c	diglcpgi16_c
dxyl5p_c	amp_c
MGlcn83_e	MGlcn46_e
im4act_c	im4ac_c
atp_c	apoACP_c
6m3hheptACP_c	6mthept2eACP_c
dscl_c	ahcys_c
h2o_c	pro_L_c
tdeACP_c	ACP_c
atp_c	h_e
MGlcn158_rl_e	core2_rl_e
nad_c	3otdcoa_c
3mob_c	thf_c
10m3hundecACP_c	10m3oundecACP_c
cro4_c	h_c
thr_L_c	2obut_c
3hhexACP_c	thex2eACP_c
h_c	dxyl5p_c
acg5sa_c	akg_c
