14mpentdecACP_c	ihdcoa_c
udp_c	ai15tca1_c
MGlcn102_rl_e	MGlcn130_rl_e
adhlam_c	lpam_c
MGlcn148_e	gal_e
MGlcn152_e	MGlcn10_e
fdxrd_c	fdxox_c
MGlcn82_rl_e	MGlcn46_rl_e
nadp_c	ppi_c
MGlcn81_e	MGlcn152_e
udpg_c	gagicolipa_c
2p4c2me_c	cmp_c
atp_c	pydx5p_c
9mdcaACP_c	co2_c
MGlcn33_rl_e	MGlcn70_rl_e
scl_c	copre2_c
gua_c	dgsn_c
adp_c	xylu_L_c
MGlcn129_e	acnam_e
cobya_c	ppi_c
g1p_c	dtdpglu_c
lcts_c	gal_c
meoh_c	h2o_c
h_c	dnad_c
fum_c	25aics_c
nadph_c	3hddecACP_c
MGlcn61_e	fuc_L_e
MGlcn80_rl_e	gal_e
g1p_c	glycogen_c
6m3hocACP_c	nadph_c
MGlcn99_rl_e	MGlcn113_rl_e
cobalt2_c	ppi_c
hdcea_c	ppi_c
MGlcn158_rl_e	gal_e
6mtoct2eACP_c	6mocACP_c
h_e	gal_c
h_c	10mddcaACP_c
h_c	2s5epchc_c
MGlcn77_e	gal_e
dhna_c	2dmmql8_c
h_c	pe180_c
h2o_c	btn_c
5aprbu_c	pi_c
h2o_c	asn_L_c
8mdcaACP_c	co2_c
h_e	arab_L_c
MGlcn80_rl_e	MGlcn149_rl_e
chor_c	4adcho_c
gchola_e	cholate_e
10fthf_c	thf_c
h2o_e	MGlcn161_e
MGlcn183_rl_e	MGlcn185_rl_e
dtmp_c	pi_c
tyr_L_c	4hba_c
pb_c	adp_c
h_c	4m3hhexACP_c
MGlcn60_e	acnam_e
fe3_c	PGPm1_c
MGlcn75_e	MGlcn146_e
cl_c	cl_e
2dmmq8_c	nad_c
dxyl5p_c	pdx5p_c
MGlcn101_e	acnam_e
core2_rl_e	acgam_e
2mahmp_c	thmmp_c
uacgam_c	palmtcaacgam_c
btoh_c	h_c
MGlcn135_e	acnam_e
MGlcn118_e	acnam_e
ddcaACP_c	3omrsACP_c
tchola_e	cholate_e
btn_co2_c	atp_c
