2agpg180_c	ocdca_c
fadh2_c	succ_c
ibcoa_c	2mp2coa_c
ala_L_c	alahis_c
MGlcn6_e	acnam_e
atp_c	dextrin_c
h2o_e	MGlcn32_rl_e
udp_c	i14tca1_c
met_D_e	met_D_c
mg2_c	PGPm1_c
h2o_e	MGlcn129_rl_e
1ihdecg3p_c	h_c
palmACP_c	ACP_c
pa161_c	cdpdhdec9eg_c
prl45tcaala_c	glyc45tcaala_D_c
h2o_e	MGlcn99_rl_e
cdpdipdecg_c	h_c
meoh_c	mbdg_c
utp_c	adp_c
MGlcn30_e	MGlcn28_e
ppi_c	gal1p_c
MGlcn119_e	MGlcn108_e
hco3_c	h2o_c
metala_c	ala_L_c
acser_c	so3_c
atp_c	ca2_c
uaagmda_c	pi_c
udp_c	ai17tca1_c
glyasp_c	asp_L_c
MGlcn70_rl_e	fuc_L_e
nadh_c	g3p_c
h2o_c	succ_c
h2o_e	MGlcn114_rl_e
acmana_c	acgam_c
r5p_c	h_c
nad_c	ppi_c
nicrns_c	h_c
xtsn_c	xan_c
MGlcn104_e	MGlcn91_e
MGlcn30_rl_e	MGlcn28_rl_e
g3p_c	fdp_c
udp_c	amp_c
ribflv_c	h_e
ribflv_e	ribflv_c
h_c	asp_L_c
sucr_e	suc6p_c
gln_L_c	4adcho_c
pyr_c	thmpp_c
val_L_c	biomass_c
acnam_c	pyr_c
frdp_c	ppi_c
i15tca1_c	udp_c
ura_c	duri_c
MGlcn100_rl_e	acnam_e
gtp_c	dgtp_c
nadp_c	nadph_c
aihpdcoa_c	paai17_c
f6p_c	h_c
MGlcn64_e	fuc_L_e
k_c	h_c
lac_D_c	nadh_c
so4_c	h_c
gua_c	ppi_c
dmpp_c	ppi_c
cdpdodecg_c	h_c
ca2_c	adp_c
gly_c	adp_c
dudp_c	dutp_c
atp_c	phom_c
gdp_c	gdpmann_c
hmbil_c	h2o_c
ppi_c	ocdca_c
lac_D_c	h_e
fa6_c	ppi_c
MGlcn53_rl_e	acnam_e
nh4_c	adp_c
xmp_c	ppi_c
h_c	inost_e
cdp_c	ctp_c
h_c	2dmmq8_c
drib_c	2dr5p_c
dhap_c	f1p_c
nadh_c	lac_D_c
thmpp_c	HC01435_c
MGlcn31_rl_e	MGlcn26_rl_e
alaasp_e	alaasp_c
dgmp_c	pi_c
alagln_c	gln_L_c
MGlcn92_e	gal_e
lac_L_c	q8h2_c
glu_L_c	val_L_c
h_e	4hbz_c
atp_c	glyphe_c
h2o_e	MGlcn61_rl_e
nad_c	co2_c
h2o_e	MGlcn19_e
achms_c	h_c
asp_L_c	biomass_c
MGlcn31_rl_e	fuc_L_e
amp_c	adn_c
dgdp_c	dgmp_c
MGlcn59_e	MGlcn6_e
glypro_e	pi_c
metsox_S_L_e	adp_c
pgai15_c	clpnai15_c
MGlcn186_e	MGlcn189_e
adocbl_e	adocbl_c
h2o_c	glyasp_c
akg_c	3mop_c
5fthf_c	adp_c
h2o_e	MGlcn108_e
atp_c	dhap_c
acgam_e	acgam_c
asp_L_c	ala_B_c
sbzcoa_c	dhna_c
i16tca1_c	h_c
MGlcn25_rl_e	fuc_L_e
MGlcn80_e	MGlcn83_e
alac_S_c	nadp_c
h2o_e	MGlcn169_rl_e
nadp_c	nh4_c
glu_L_c	h_c
MGlcn161_e	fuc_L_e
gdp_c	atp_c
trdrd_c	dcdp_c
MGlcn95_e	MGlcn26_e
MGlcn71_e	fuc_L_e
h_c	2dmmql8_c
phe_L_c	h_e
