,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
101,1pipdn2c[c],gchola[e],1agpe140[c],6mthept2eACP[c],thmmp[c],15m3hpalmACP[c],glyb[c],ncptrc[c],i17tcaacgam[c],12dixdglyc[c]
102,hdcoa[c],cholate[e],spmd[e],10m3hundecACP[c],btoh[c],11m3hddcaACP[c],4ppan[c],ala_B[c],gthrd[c],isoval[e]
103,arbt[e],4hba[c],spmd[c],cro4[c],ddcaACP[c],11m3oddcaACP[c],ctbt[c],pheme[e],lgt_S[c],ocdca[e]
104,gal1b3acgal[e],tdeACP[c],agm[c],3hhexACP[c],3omrsACP[c],cbmt[c],uaagtmda[c],tdeACP[c],ptrc[e],ocdca[c]
105,L2aadp6sa[c],1tdec7eg3p[c],6m3hheptACP[c],thex2eACP[c],psi17[c],tag6p_D[c],hg2[c],cro4[c],ppi[e],ibcoa[c]
106,thp2c[c],thfglu[c],7m3hocACP[c],1agpe160[c],6a2ohxnt[c],3odcoa[c],hg2[e],glygln[c],hgbam[c],2mpropACP[c]
107,btn[e],HC01652[c],7m3oocACP[c],ppa[c],glyb[c],occoa[c],isoval[e],nh4[e],5hxudidzcba[c],dha[c]
108,glyclt[c],pai14[c],3dhq[c],4hthr[c],4ppan[c],pa141[c],ocdca[e],inost[c],alltn_R[c],2mbutACP[c]
109,2agpe141[c],ibcoa[c],alltn_R[c],gly[e],glyasp[e],cdpdtdec7eg[c],ocdca[c],ppa[c],acbdma14gapuc[c],2mbcoa[c]
110,rbl_L[c],14m3opentdecACP[c],aacald[c],2mb2coa[c],bhb[c],spmd[e],ibcoa[c],4hthr[c],unaga[c],ppcoa[c]
